countyfp,year,month,countyns,namelsad,statefp,ELWT_CSR
153,2002,1,1494354,Floyd County,51,-4.0270443
153,2002,2,1494354,Floyd County,51,12.514538
153,2002,3,1494354,Floyd County,51,5.9524722
153,2002,4,1494354,Floyd County,51,-1.492505
153,2002,5,1494354,Floyd County,51,-1.6249658
153,2002,6,1494354,Floyd County,51,10.618835
153,2002,7,1494354,Floyd County,51,-3.4879742
153,2003,1,1494354,Floyd County,51,4.6549664
153,2003,2,1494354,Floyd County,51,5.9770188
153,2003,3,1494354,Floyd County,51,8.1748772
153,2003,4,1494354,Floyd County,51,1.9831952
153,2003,5,1494354,Floyd County,51,5.6288095
153,2003,6,1494354,Floyd County,51,-5.3319321
153,2003,7,1494354,Floyd County,51,-8.7624178
153,2003,8,1494354,Floyd County,51,8.6991014
153,2003,9,1494354,Floyd County,51,7.1250505
153,2003,10,1494354,Floyd County,51,0.94250715
153,2003,11,1494354,Floyd County,51,0.40551415
153,2003,12,1494354,Floyd County,51,-8.0750875
153,2004,1,1494354,Floyd County,51,0.20778349
153,2004,2,1494354,Floyd County,51,-1.0654266
153,2004,3,1494354,Floyd County,51,-0.10814919
153,2004,4,1494354,Floyd County,51,5.3302217
153,2004,5,1494354,Floyd County,51,-1.7631677
153,2004,6,1494354,Floyd County,51,3.7891362
153,2004,7,1494354,Floyd County,51,7.1503325
153,2004,8,1494354,Floyd County,51,6.8144999
153,2004,9,1494354,Floyd County,51,3.3110845
153,2004,10,1494354,Floyd County,51,8.9920931
153,2004,11,1494354,Floyd County,51,3.3208697
153,2005,1,1494354,Floyd County,51,6.0346279
153,2005,2,1494354,Floyd County,51,8.590888
153,2005,3,1494354,Floyd County,51,3.2896974
153,2005,4,1494354,Floyd County,51,-11.708096
153,2005,5,1494354,Floyd County,51,6.7391515
153,2005,6,1494354,Floyd County,51,-7.7523832
153,2005,7,1494354,Floyd County,51,1.6793857
153,2005,8,1494354,Floyd County,51,3.2524891
153,2005,9,1494354,Floyd County,51,-10.081214
153,2005,10,1494354,Floyd County,51,3.3411717
153,2005,11,1494354,Floyd County,51,4.9109426
153,2005,12,1494354,Floyd County,51,5.8630657
153,2006,1,1494354,Floyd County,51,7.6746726
153,2006,2,1494354,Floyd County,51,-12.096174
153,2006,3,1494354,Floyd County,51,5.9727578
153,2006,4,1494354,Floyd County,51,6.7848773
153,2006,5,1494354,Floyd County,51,-3.4363146
153,2006,6,1494354,Floyd County,51,5.3292112
153,2006,7,1494354,Floyd County,51,-2.8449779
153,2006,8,1494354,Floyd County,51,2.5897949
153,2006,9,1494354,Floyd County,51,3.9518638
153,2006,10,1494354,Floyd County,51,-5.2720313
153,2006,11,1494354,Floyd County,51,1.4189875
153,2006,12,1494354,Floyd County,51,4.3689971
153,2007,1,1494354,Floyd County,51,-0.82915956
153,2007,2,1494354,Floyd County,51,0.55048788
153,2007,3,1494354,Floyd County,51,3.5522676
153,2007,4,1494354,Floyd County,51,2.5756321
153,2007,5,1494354,Floyd County,51,3.0413775
153,2007,6,1494354,Floyd County,51,4.6072798
153,2007,7,1494354,Floyd County,51,2.1392841
153,2007,8,1494354,Floyd County,51,-0.36329439
153,2007,9,1494354,Floyd County,51,9.0851688
153,2007,10,1494354,Floyd County,51,-5.8997717
153,2007,11,1494354,Floyd County,51,2.1569219
153,2007,12,1494354,Floyd County,51,0.24961938
153,2008,1,1494354,Floyd County,51,5.911499
153,2008,2,1494354,Floyd County,51,-10.249654
153,2008,3,1494354,Floyd County,51,-8.8551817
153,2008,4,1494354,Floyd County,51,-8.8475885
153,2008,5,1494354,Floyd County,51,5.6408701
153,2008,6,1494354,Floyd County,51,-6.3642778
