Index	MineID	County	Lon	Lat
11	 DMM00244	 Albemarle	-78.575	37.925
170	 DMM13036	 Smyth	-81.483669	36.793667
195	 DMM02529	 Albemarle	-78.7067	37.8812
203	 DMM02804	 Louisa	-78.0556	37.9642
204	 DMM02805	 Louisa	-78.0532	37.9674
310	 DMM02818	 Goochland	-78.1265	37.784
321	 DMM00217	 Clarke	-78.0047	39.0705
351	 DMM02388	 Rappahannock	-78.27054	38.65309
364	 DMM02397	 Frederick	-78.48627	39.0405
365	 DMM14100	 Rockingham	-78.83276	38.52592
512	 DMM031367	 Buckingham	-78.3944	37.5703
536	 DMM03926	 Nelson	-78.66969	37.7416
549	 DMM16045	 Fluvanna	-78.09521	37.86533
555	 DMM16051	 Fluvanna	-78.10293	37.8452
570	 DMM08049	 Alleghany	-80.08342	37.7691
581	 DMM20040	 Russell	-82.23457	36.89558
596	 DMM031111	 Amherst	-78.91357	37.52313
809	 DMM03789	 Fauquier	-77.7208	38.78052
895	 DMM04616	 Hopewell	-77.3213	37.2939
932	 DMM01269	 Augusta	-79.3755	38.0758
972	 DMM20043	 Pittsylvania	-79.379	36.58
973	 DMM20044	 Pittsylvania	-79.379	36.588
1117	 DMM04656	 Halifax	-78.76709	36.56143
1332	 DMM96120	 Bedford	-79.4389	37.2716
1344	 DMM20228	 Frederick	-78.34013	39.25215
1363	 DMM05545	 Augusta	-79.0478	38.2971
1554	 DMM15057	 Bedford	-79.49393	37.18226
1599	 DMM15017	 Amelia	-78.06158	37.35011
1689	 DMM20047	 Virginia Beach	-76.148	36.874
1819	 DMM09064	 Campbell	-79.27895	37.20658
1911	 DMM070006	 Rockingham	-78.8195	38.4581
1942	 DMM15051	 Bedford	-79.50743	37.19833
1943	 DMM15052	 Bedford	-79.50584	37.20011
1945	 DMM15054	 Bedford	-79.58731	37.18597
1947	 DMM15058	 Bedford	-79.61234	37.17038
1948	 DMM15059	 Bedford	-79.60604	37.1722
2008	 DMM070027	 Alleghany	-79.66744	37.79677
2034	 DMM07323	 Shenandoah	-78.67096	38.8725
2053	 DMM07512	 Rockingham	-78.9504	38.4225
2085	 DMM07050	 Botetourt	-79.83426	37.76518
2115	 DMM07075	 Alleghany	-79.93469	37.7989
2130	 DMM07079	 Alleghany	-79.91489	37.81573
2135	 DMM08001	 Alleghany	-79.95665	37.78755
2137	 DMM08003	 Alleghany	-79.94443	37.79299
2145	 DMM08005	 Alleghany	-79.95789	37.79567
