"","long","lat","group","feature"
"451","-80.5953138","36.9379637","1","Water Body"
"452","-80.5951974","36.9379803","1","Water Body"
"453","-80.5951016","36.9379693","1","Water Body"
"454","-80.5950058","36.9379474","1","Water Body"
"455","-80.5949234","36.9379143","1","Water Body"
"456","-80.5948688","36.937876","1","Water Body"
"457","-80.5948209","36.937788","1","Water Body"
"458","-80.594855","36.9376836","1","Water Body"
"459","-80.5949234","36.9376506","1","Water Body"
"460","-80.5949851","36.9376506","1","Water Body"
"461","-80.5950672","36.9376725","1","Water Body"
"462","-80.5951357","36.937711","1","Water Body"
"463","-80.5952384","36.9377989","1","Water Body"
"464","-80.5953001","36.9378868","1","Water Body"
"465","-80.5953138","36.9379637","1","Water Body"
"1524","-80.5818467","36.8700664","1","Water Body"
"1525","-80.5819358","36.8700828","1","Water Body"
"1526","-80.5820862","36.8702312","1","Water Body"
"1527","-80.5821205","36.8703136","1","Water Body"
"1528","-80.5821068","36.8703412","1","Water Body"
"1529","-80.5820384","36.8703686","1","Water Body"
"1530","-80.5818811","36.8703687","1","Water Body"
"1531","-80.5818469","36.8703302","1","Water Body"
"1532","-80.5818127","36.8702312","1","Water Body"
"1533","-80.5817989","36.8701214","1","Water Body"
"1534","-80.5818467","36.8700664","1","Water Body"
"1598","-80.5816216","36.9349118","1","Water Body"
"1599","-80.5816217","36.9349558","1","Water Body"
"1600","-80.5815805","36.9350272","1","Water Body"
"1601","-80.5815395","36.9351042","1","Water Body"
"1602","-80.5814984","36.9351427","1","Water Body"
"1603","-80.5814573","36.9351426","1","Water Body"
"1604","-80.5813751","36.9350821","1","Water Body"
"1605","-80.5813546","36.9350713","1","Water Body"
"1606","-80.5812861","36.9350713","1","Water Body"
"1607","-80.5812246","36.9350987","1","Water Body"
"1608","-80.5811767","36.9351208","1","Water Body"
"1609","-80.5811219","36.9351207","1","Water Body"
"1610","-80.5810945","36.9350987","1","Water Body"
"1611","-80.5810945","36.9350657","1","Water Body"
"1612","-80.581115","36.9350273","1","Water Body"
"1613","-80.5811903","36.9349559","1","Water Body"
"1614","-80.5812656","36.9348844","1","Water Body"
"1615","-80.5813477","36.9347965","1","Water Body"
